feature_id,pepmass,LipidClass,compound_class,coraldb_compound_name
17135,812.617,PC,Glycerophosphocholines,PC(38:3) / PC(38:4;O) [M+H]+
18480,898.6327,PC,Glycerophosphocholines,NA
6297,678.4714,PC,Oxidized glycerophospholipids,NA
21061,834.6002,PC,Unknown,PC(40:6) [M+H]+
17932,770.575,PC,Unknown,NA
27545,836.6549,PC,Glycerophosphocholines,PC(O-41:5) [M+H]+
25874,758.6044,PC,Unknown,PC(O-35:2) [M+H]+
2451,991.6722,PC,Unknown,NA
24973,784.6216,PC,Glycerophosphocholines,PC(O-37:3) [M+H]+
21072,794.5705,PC,Glycerophosphocholines,PC(37:5) [M+H]+
14609,784.5861,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
20656,758.5711,PC,Glycerophosphocholines,PC(34:2) [M+H]+
18482,806.5697,PC,Unknown,PC(16:0/22:6) [M+H]+
6180,975.7121,PC,Unknown,NA
22718,800.6169,PC,Unknown,PC(37:2) [M+H]+
24540,822.601,PC,Glycerophosphocholines,PC(39:5) [M+H]+
30907,776.6537,PC,Glycerophosphocholines,PC(O-36:0) [M+H]+
28157,802.6339,PC,Unknown,NA
19686,804.5914,PC,Glycerophosphocholines,PC(O-35:3;O3) [M+H]+
1537,504.3457,PC,Glycerophosphocholines,NA
17807,713.5596,PC,Phosphosphingolipids,NA
25949,850.6328,PC,Unknown,NA
13672,852.5531,PC,Glycerophosphocholines,PC(20:5:22:6) [M+H]+
24593,850.5148,PC,Unknown,NA
29015,838.6722,PC,Glycerophosphocholines,PC(O-41:4) [M+H]+
20499,812.5779,PC,Glycerophosphocholines,NA
26619,758.6066,PC,Unknown,PC(O-35:2) [M+H]+
27797,814.6333,PC,Unknown,PC(38:2) [M+H]+
18820,740.559,PC,Glycerophosphocholines,PC(O-34:4) [M+H]+
17062,784.5865,PC,Unknown,PC(36:3) / PC(O-36:4;O) [M+H]+
28390,826.6673,PC,Unknown,PC(O-40:3) [M+H]+
23235,718.5754,PC,Glycerophosphocholines,PC(O-32:1) [M+H]+
19361,710.5488,PC,Glycerophosphocholines,NA
6046,636.4598,PC,Glycerophosphocholines,NA
9045,706.5032,PC,Unknown,NA
18629,764.5591,PC,Unknown,PC(O-36:6) [M+H]+
24167,732.5907,PC,Glycerophosphocholines,PC(O-33:1) [M+H]+
19457,788.5546,PC,Glycerophosphocholines,PC(O-38:8) [M+H]+
2463,512.3707,PC,Glycerophosphocholines,NA
8399,818.5549,PC,Oxidized glycerophospholipids,NA
24733,824.6166,PC,Unknown,PC(39:4) [M+H]+
20576,736.5638,PC,Unknown,NA
19642,836.5762,PC,Glycerophosphocholines,NA
27567,850.6661,PC,Unknown,PC(O-42:5) [M+H]+
24907,788.6091,PC,Unknown,PC(36:1) [M+H]+
4050,508.3763,PC,Lyso-PC(alkyl),Lyso-PC(O-18:1) [M+H]+
31736,977.7771,PC,Unknown,NA
16642,776.5617,PC,Glycerophosphocholines,NA
23083,822.6028,PC,Glycerophosphocholines,PC(39:5) [M+H]+
14519,810.6016,PC,Glycerophosphocholines,PC(38:4) / PC(38:5;O) [M+H]+
24839,846.6378,PC,Unknown,NA
16341,820.5921,PC,Neutral glycosphingolipids,PC(39:6) [M+H]+
1421,494.3242,PC,Lyso-PC(acyl),Lyso-PC(16:1) [M+H]+
20151,744.5614,PC,MGDG,MGDG(16:1/16:1) [M+NH4]+
14961,788.559,PC,Unknown,PC(O-38:8) [M+H]+
13794,826.5964,PC,Glycerophosphocholines,PC(O-38:5;O2) [M+H]+
25508,774.6023,PC,Unknown,PC(35:1) [M+H]+
22214,742.5747,PC,Unknown,PC(O-34:3) [M+H]+
29087,850.6714,PC,Glycerophosphocholines,PC(O-42:5) [M+H]+
19714,740.5604,PC,Unknown,PC(O-34:4) [M+H]+
21037,812.6156,PC,Unknown,PC(38:3) / PC(38:4;O) [M+H]+
27475,786.6381,PC,Glycerophosphocholines,PC(O-37:2) [M+H]+
23366,769.6235,PC,Phosphosphingolipids,SM(39:3;O2) [M+H]+
23829,750.602,PC,Unknown,NA
24597,848.5174,PC,Unknown,NA
18198,812.6174,PC,Glycerophosphocholines,PC(38:3) / PC(38:4;O) [M+H]+
21275,768.5894,PC,Glycerophosphocholines,PC(O-16:0/20:4) [M+H]+
15478,826.596,PC,Unknown,PC(O-38:5;O2) [M+H]+
23090,820.6217,PC,Glycerophosphocholines,PC(O-18:0/22:6) [M+H]+
2213,506.3606,PC,Lyso-PC(alkyl),Lyso-PC(O-18:2) [M+H]+
18613,786.5998,PC,Glycerophosphocholines,PC(36:2) [M+H]+
30575,972.7409,PC,Unknown,NA
21935,732.5556,PC,Unknown,PC(32:1) [M+H]+
18321,790.5742,PC,Unknown,PC(O-38:7) [M+H]+
11311,817.6043,PC,Unknown,NA
5949,790.5233,PC,Oxidized glycerophospholipids,NA
27546,968.7104,PC,Unknown,NA
11637,832.5946,PC,Oxidized DGCC,DGCC(16:0/22:6;O2) [M+H]+
15536,801.5855,PC,Phosphosphingolipids,NA
